cellLine	randomSeed	parameterTested	boolFeatureSelection	accuracy	sensitivity	specificity	mcc
PC3	0	1	True	0.631578947368	0.676470588235	0.25	-0.0485459773363
PC3	1	1	True	0.631578947368	0.676470588235	0.25	-0.0485459773363
PC3	2	1	True	0.631578947368	0.676470588235	0.25	-0.0485459773363
PC3	3	1	True	0.631578947368	0.676470588235	0.25	-0.0485459773363
PC3	4	1	True	0.631578947368	0.676470588235	0.25	-0.0485459773363
PC3	0	6	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	1	6	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	2	6	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	3	6	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	4	6	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	0	11	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	1	11	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	2	11	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	3	11	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	4	11	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	0	16	True	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	1	16	True	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	2	16	True	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	3	16	True	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	4	16	True	0.663157894737	0.691860465116	0.388888888889	0.0508735719277
PC3	0	21	True	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	1	21	True	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	2	21	True	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	3	21	True	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	4	21	True	0.689473684211	0.705202312139	0.529411764706	0.144063604642
PC3	0	26	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	1	26	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	2	26	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	3	26	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	4	26	True	0.684210526316	0.713414634146	0.5	0.157792186067
PC3	0	31	True	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	1	31	True	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	2	31	True	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	3	31	True	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	4	31	True	0.663157894737	0.694117647059	0.4	0.0621388509904
PC3	0	36	True	0.652631578947	0.69512195122	0.384615384615	0.0589553222667
PC3	1	36	True	0.652631578947	0.69512195122	0.384615384615	0.0589553222667
PC3	2	36	True	0.652631578947	0.69512195122	0.384615384615	0.0589553222667
PC3	3	36	True	0.652631578947	0.69512195122	0.384615384615	0.0589553222667
PC3	4	36	True	0.652631578947	0.69512195122	0.384615384615	0.0589553222667
PC3	0	41	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	1	41	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	2	41	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	3	41	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	4	41	True	0.652631578947	0.692771084337	0.375	0.0484347205023
PC3	0	46	True	0.705263157895	0.720238095238	0.590909090909	0.214182783212
PC3	1	46	True	0.705263157895	0.720238095238	0.590909090909	0.214182783212
PC3	2	46	True	0.705263157895	0.720238095238	0.590909090909	0.214182783212
PC3	3	46	True	0.705263157895	0.720238095238	0.590909090909	0.214182783212
PC3	4	46	True	0.705263157895	0.720238095238	0.590909090909	0.214182783212
PC3	0	51	True	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	1	51	True	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	2	51	True	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	3	51	True	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	4	51	True	0.668421052632	0.698224852071	0.428571428571	0.0855287673071
PC3	0	56	True	0.673684210526	0.70987654321	0.464285714286	0.132813819669
PC3	1	56	True	0.673684210526	0.70987654321	0.464285714286	0.132813819669
PC3	2	56	True	0.673684210526	0.70987654321	0.464285714286	0.132813819669
PC3	3	56	True	0.673684210526	0.70987654321	0.464285714286	0.132813819669
PC3	4	56	True	0.673684210526	0.70987654321	0.464285714286	0.132813819669
PC3	0	61	True	0.657894736842	0.694610778443	0.391304347826	0.0602898890924
PC3	1	61	True	0.657894736842	0.694610778443	0.391304347826	0.0602898890924
PC3	2	61	True	0.657894736842	0.694610778443	0.391304347826	0.0602898890924
PC3	3	61	True	0.657894736842	0.694610778443	0.391304347826	0.0602898890924
PC3	4	61	True	0.657894736842	0.694610778443	0.391304347826	0.0602898890924
PC3	0	66	True	0.642105263158	0.691358024691	0.357142857143	0.0369861269964
PC3	1	66	True	0.642105263158	0.691358024691	0.357142857143	0.0369861269964
PC3	2	66	True	0.642105263158	0.691358024691	0.357142857143	0.0369861269964
PC3	3	66	True	0.642105263158	0.691358024691	0.357142857143	0.0369861269964
PC3	4	66	True	0.642105263158	0.691358024691	0.357142857143	0.0369861269964
PC3	0	71	True	0.678947368421	0.706586826347	0.478260869565	0.129714609865
PC3	1	71	True	0.678947368421	0.706586826347	0.478260869565	0.129714609865
PC3	2	71	True	0.678947368421	0.706586826347	0.478260869565	0.129714609865
PC3	3	71	True	0.678947368421	0.706586826347	0.478260869565	0.129714609865
PC3	4	71	True	0.678947368421	0.706586826347	0.478260869565	0.129714609865
PC3	0	76	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	1	76	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	2	76	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	3	76	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	4	76	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	0	81	True	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	1	81	True	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	2	81	True	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	3	81	True	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	4	81	True	0.668421052632	0.700598802395	0.434782608696	0.0950022494789
PC3	0	86	True	0.657894736842	0.699386503067	0.407407407407	0.0802185619571
PC3	1	86	True	0.657894736842	0.699386503067	0.407407407407	0.0802185619571
PC3	2	86	True	0.657894736842	0.699386503067	0.407407407407	0.0802185619571
PC3	3	86	True	0.657894736842	0.699386503067	0.407407407407	0.0802185619571
PC3	4	86	True	0.657894736842	0.699386503067	0.407407407407	0.0802185619571
PC3	0	91	True	0.668421052632	0.705521472393	0.444444444444	0.112647342323
PC3	1	91	True	0.668421052632	0.705521472393	0.444444444444	0.112647342323
PC3	2	91	True	0.668421052632	0.705521472393	0.444444444444	0.112647342323
PC3	3	91	True	0.668421052632	0.705521472393	0.444444444444	0.112647342323
PC3	4	91	True	0.668421052632	0.705521472393	0.444444444444	0.112647342323
PC3	0	96	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	1	96	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	2	96	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	3	96	True	0.652631578947	0.688235294118	0.35	0.0252439082149
PC3	4	96	True	0.652631578947	0.688235294118	0.35	0.0252439082149
